Statistical profiling result from isolate-0x102802a00-v8.log, (494 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    3.6%  T ___guarded_open_np
      3   16.7%    T v8::internal::Runtime_InterpreterDeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1   33.3%      Script: ~<anonymous> net.js:1:11
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:301:44
      1  100.0%          LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:148:34
      1  100.0%            Script: ~<anonymous> tty.js:1:11
      1   33.3%      Script: ~<anonymous> fs.js:1:11
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:301:44
      1  100.0%          LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:148:34
      1  100.0%            Script: ~<anonymous> assert.js:1:11
      1   33.3%      LazyCompile: ~binding internal/bootstrap/loaders.js:77:39
      1  100.0%        Script: ~bootstrapInternalLoaders internal/bootstrap/loaders.js:42:35
      2   11.1%    T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1   50.0%      LazyCompile: ~setupProcessObject internal/bootstrap/node.js:331:30
      1  100.0%        LazyCompile: ~startup internal/bootstrap/node.js:30:19
      1  100.0%          Script: ~bootstrapNodeJSCore internal/bootstrap/node.js:15:30
      1   50.0%      LazyCompile: ~ok assert.js:356:12
      1  100.0%        LazyCompile: ~Module.load internal/modules/cjs/loader.js:590:33
      1  100.0%          LazyCompile: ~tryModuleLoad internal/modules/cjs/loader.js:535:23
      1  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24

     14    2.8%  t v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, bool, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Handle<v8::internal::Object>, v8::internal::Execution::MessageHandling, v8::internal::Execution::Target)
     14  100.0%    T v8::internal::Builtin_ArrayPush(int, v8::internal::Object**, v8::internal::Isolate*)
     14  100.0%      LazyCompile: *arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
     14  100.0%        Script: ~<anonymous> /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:1:11
     14  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:650:37
     14  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:698:37

     14    2.8%  t v8::internal::(anonymous namespace)::CallJsIntrinsic(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSFunction>, v8::internal::BuiltinArguments)
     14  100.0%    T v8::internal::Builtin_ArrayPush(int, v8::internal::Object**, v8::internal::Isolate*)
     14  100.0%      LazyCompile: *arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
     14  100.0%        Script: ~<anonymous> /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:1:11
     14  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:650:37
     14  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:698:37

